term,pos,comment,ar,be_BY,bg,ca,cs,cy,da,el,eo,es,eu,fa,fi,fil,fr,he,hi_IN,hr,hu,id,it,ja,km_KH,ko,mk,ms,nb,nl,pl,pt_BR,pt_PT,ro,ru,sk,sl_SI,sq,sv,sw,th,tr,uk,uz@Latn,vi,zh,zh_TW
Address,Noun,,,,,Adreça,Adresa,,,Διεύθυνση,,,,,,,adresse,,,,,,,アドレス,,,,,,Adres,,,Endereço,,,,,,,,,,,,,,位址
BItcoin address,Noun,,,,,,Bitcoinová adresa,,,,,,,,,,,,,,,,,,,,,,,Bitcoinadres,,,endereço Bitcoin,,,,,,,,,,,,,,
Balance,Adverb,,,,,Balanç,Zůstatek,,,,,,,,,,,,,,,,,,,,,,,Balans,,,Saldo,,,,,,,,,,,,,,
Bitcoin,Noun,,,,,Bitcoin,Bitcoin,,,Bitcoin,,,,,,,bitcoin,,,,,,,ビットコイン,,,,,,Bitcoin,,,Bitcoin,,,,,,,,,,,,,,Bitcoin
Bitcoin Wallet,Noun,,,,,,,,,,,,,,,,,,,,,,,Bitcoin Wallet,,,,,,,,,Bitcoin Wallet,,,,,,,,,,,,,,
Bitcoins,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bitcoins,,,,,,,,,,,,,,
Download,Noun,,,,,,Uložit,,,,,,,,,,,,,,,,,,,,,,,Download,,,"Transferência, Carregamento",,,,,,,,,,,,,,
Download,Verb,,,,,,Uložit,,,,,,,,,,,,,,,,,,,,,,,Download,,,"Transferir, Carregar",,,,,,,,,,,,,,
Exchange rate,Noun,,,,,Tipus de canvi,Sazba za směnu,,,Ισοτιμία,,,,,,,taux de change,,,,,,,為替レート,,,,,,Wisselkoers,,,,,,,,,,,,,,,,,匯率
PIN,Noun,,,,,,,,,,,,,,,,,,,,PIN kód,,,,,,,,,pincode,,,,,,,,,,,,,,,,,
Wallet,Noun,,,,,Cartera,,,,,,,,,,,porte-monnaie,,,,,,,ウォレット,,,,,,,,,Carteira,,,,,,,,,,,,,,Wallet
address,Noun,,,,,,Adresa,,,,,,,,,,,,,,,,,,,,,,,adres,,,endereço,,,,,,,,,,,,,,
address book,Noun,,,,,Llibreta d'adreces,,,,Βιβλίο διευθύνσεων,,,,,,,carnet d'adresses,,,,,,,アドレスブック,,,,,,Adresboek,,,livro de endereços,,,,,,,,,,,,,,位址簿
addresses,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endereços,,,,,,,,,,,,,,
app,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aplicação,,,,,,,,,,,,,,
balance,Noun,"mablag'   ,   hisob ,  ",,,,balanç,Zůstatek,,,υπόλοιπο,,,,,,,solde,,,,,,,残高,,,,,,saldo,,,saldo,,,,,,,,,,,,,,餘額
block chain,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cadeia de blocos,,,,,,,,,,,,,,
blockchain,Noun,,,,,cadena de blocs,blockchain,,,,,,,,,,chaîne de blocs,,,,,,,ブロックチェーン,,,,,,blokketen,,,,,,,,,,,,,,,,,區塊鏈
blocks,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blocos,,,,,,,,,,,,,,
